City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Right Now,Country,Date
99,Carson City,39.1638,-119.7674,55.53,27,0,9.22,clear sky,US,2022-01-31 23:44:35
100,Asfi,32.2994,-9.2372,61.56,59,0,15.01,clear sky,MA,2022-01-31 23:44:35
101,Georgetown,5.4112,100.3354,78.89,88,20,3.0,few clouds,MY,2022-01-31 23:44:36
102,Hami,42.8,93.45,19.8,40,1,2.1,clear sky,CN,2022-01-31 23:42:13
103,Yellowknife,62.456,-114.3525,-10.44,83,20,5.75,few clouds,CA,2022-01-31 23:44:36
104,Toppenish,46.3774,-120.3087,48.85,54,43,6.93,scattered clouds,US,2022-01-31 23:44:36
105,Polunochnoye,60.8697,60.4153,-10.79,100,80,1.07,broken clouds,RU,2022-01-31 23:44:37
106,Dikson,73.5069,80.5464,-2.49,90,100,17.9,overcast clouds,RU,2022-01-31 23:41:07
107,Kurilsk,45.2333,147.8833,23.11,82,100,22.88,light snow,RU,2022-01-31 23:44:37
108,Santa Cruz,-17.8,-63.1667,83.66,70,75,11.5,broken clouds,BO,2022-01-31 23:41:07
109,Kaitangata,-46.2817,169.8464,71.92,70,66,5.95,broken clouds,NZ,2022-01-31 23:44:38
110,Rocha,-34.4833,-54.3333,60.93,62,10,7.31,clear sky,UY,2022-01-31 23:39:43
111,Acarau,-2.8856,-40.12,79.3,78,14,13.58,few clouds,BR,2022-01-31 23:44:39
112,Bosaso,11.2842,49.1816,75.29,82,25,5.99,scattered clouds,SO,2022-01-31 23:44:39
113,Sarakhs,36.5449,61.1577,37.54,60,3,4.61,clear sky,IR,2022-01-31 23:44:39
114,San Isidro,-12.1167,-77.05,75.51,79,0,1.99,clear sky,PE,2022-01-31 23:44:40
115,Skibbereen,51.55,-9.2667,48.0,86,87,19.42,overcast clouds,IE,2022-01-31 23:44:40
116,Korla,41.7597,86.1469,21.79,56,50,1.23,scattered clouds,CN,2022-01-31 23:44:40
117,Oussouye,12.485,-16.5469,75.38,78,99,12.55,overcast clouds,SN,2022-01-31 23:44:41
118,Whitecourt,54.1502,-115.6855,4.24,60,75,14.97,broken clouds,CA,2022-01-31 23:44:41
119,Airai,-8.9266,125.4092,67.42,70,78,5.57,broken clouds,TL,2022-01-31 23:41:47
120,Amazar,53.858,120.875,-6.27,92,99,3.85,overcast clouds,RU,2022-01-31 23:44:42
121,Mackay,-21.15,149.2,90.68,70,70,3.44,broken clouds,AU,2022-01-31 23:43:33
122,San Patricio,28.017,-97.5169,70.21,87,82,6.91,broken clouds,US,2022-01-31 23:44:42
123,Iquique,-20.2208,-70.1431,71.64,76,0,3.78,clear sky,CL,2022-01-31 23:43:06
