City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
42,Port Alfred,-33.5906,26.891,71.69,72,52,14.36,ZA,2022-01-28 17:31:18
43,Muros,42.7762,-9.0603,59.5,65,0,6.06,ES,2022-01-28 17:35:18
44,Guerrero Negro,27.9769,-114.0611,66.99,31,32,1.3,MX,2022-01-28 17:36:18
45,Esperance,-33.8667,121.9,60.64,82,0,13.49,AU,2022-01-28 17:33:59
46,Hermanus,-34.4187,19.2345,70.9,70,1,12.66,ZA,2022-01-28 17:31:19
47,Atuona,-9.8,-139.0333,77.18,79,9,15.08,PF,2022-01-28 17:31:31
48,Armizonskoye,55.9461,67.6736,-3.82,100,84,3.15,RU,2022-01-28 17:36:19
49,Kruisfontein,-34.0033,24.7314,69.89,71,53,10.92,ZA,2022-01-28 17:31:16
50,Mulchen,-37.7167,-72.2333,91.0,28,0,4.36,CL,2022-01-28 17:36:19
51,Touros,-5.1989,-35.4608,79.7,62,64,7.78,BR,2022-01-28 17:36:20
52,Nakkila,61.3667,22.0,24.69,80,0,5.75,FI,2022-01-28 17:36:20
53,Samfya,-11.3649,29.5565,67.57,90,100,5.06,ZM,2022-01-28 17:36:21
54,Shiraoi,42.55,141.35,23.18,83,52,11.05,JP,2022-01-28 17:36:21
55,Norman Wells,65.282,-126.8329,-3.96,71,100,6.91,CA,2022-01-28 17:36:21
56,Asahikawa,43.7678,142.3703,12.81,96,99,3.74,JP,2022-01-28 17:36:22
57,Albany,42.6001,-73.9662,32.47,69,100,2.93,US,2022-01-28 17:30:02
58,Faanui,-16.4833,-151.75,80.94,74,8,17.98,PF,2022-01-28 17:31:29
59,Georgetown,5.4112,100.3354,82.89,86,20,1.99,MY,2022-01-28 17:32:12
60,Neuquen,-38.9516,-68.0591,87.69,37,0,3.44,AR,2022-01-28 17:36:23
61,Hambantota,6.1241,81.1185,76.08,86,54,9.19,LK,2022-01-28 17:36:23
62,Logrono,42.4667,-2.45,49.5,50,0,10.36,ES,2022-01-28 17:36:23
63,Provideniya,64.3833,-173.3,-2.33,98,23,2.26,RU,2022-01-28 17:32:43
64,Ilulissat,69.2167,-51.1,15.82,48,100,26.46,GL,2022-01-28 17:33:50
65,Mega,4.05,38.3,70.27,20,61,5.44,ET,2022-01-28 17:36:24
66,Pudozh,61.8099,36.5345,15.84,97,100,2.53,RU,2022-01-28 17:36:24
67,Mahibadhoo,3.7833,72.9667,80.44,63,46,12.82,MV,2022-01-28 17:36:25
68,Marquette,46.5333,-87.6335,15.82,59,58,6.22,US,2022-01-28 17:36:25
69,Acapulco,16.8634,-99.8901,85.82,48,40,0.0,MX,2022-01-28 17:36:25
70,Yulara,-25.2406,130.9889,82.24,47,40,13.8,AU,2022-01-28 17:36:26
71,Tiksi,71.6872,128.8694,-3.59,98,100,7.54,RU,2022-01-28 17:36:26
72,Castro,-24.7911,-50.0119,65.23,97,100,6.8,BR,2022-01-28 17:36:27
73,Raudeberg,61.9875,5.1352,38.98,92,100,10.0,NO,2022-01-28 17:36:27
74,Tuktoyaktuk,69.4541,-133.0374,-20.2,76,20,13.8,CA,2022-01-28 17:31:21
75,Khatanga,71.9667,102.5,-0.45,86,100,5.86,RU,2022-01-28 17:26:58
76,Varna,43.2167,27.9167,44.74,75,40,14.97,BG,2022-01-28 17:36:28
77,Lerwick,60.1545,-1.1494,48.2,93,100,34.92,GB,2022-01-28 17:36:28
78,Ola,59.5833,151.2833,11.5,78,100,15.03,RU,2022-01-28 17:31:17
79,Cherskiy,68.75,161.3,-21.14,95,80,1.88,RU,2022-01-28 17:36:29
80,Sao Filipe,14.8961,-24.4956,71.91,69,99,9.4,CV,2022-01-28 17:36:29
81,Lhokseumawe,5.1801,97.1507,78.06,87,32,3.8,ID,2022-01-28 17:36:29
82,Urusha,54.05,122.9,-4.79,89,59,3.76,RU,2022-01-28 17:36:30
83,Arraial Do Cabo,-22.9661,-42.0278,85.96,70,40,4.61,BR,2022-01-28 17:33:53
84,Isangel,-19.55,169.2667,78.53,92,100,4.36,VU,2022-01-28 17:34:09
85,Hay River,60.8156,-115.7999,12.18,85,100,3.44,CA,2022-01-28 17:36:30
86,Bethel,41.3712,-73.414,33.76,78,100,0.0,US,2022-01-28 17:36:31
87,Road Town,18.4167,-64.6167,80.69,69,40,9.22,VG,2022-01-28 17:31:33
88,Burns Lake,54.2331,-125.7533,4.42,86,85,2.82,CA,2022-01-28 17:36:31
89,Hithadhoo,-0.6,73.0833,81.14,61,41,7.09,MV,2022-01-28 17:34:00
90,Dikson,73.5069,80.5464,5.88,93,100,19.28,RU,2022-01-28 17:37:32
91,Svetlogorsk,52.6333,29.7333,32.41,99,100,6.22,BY,2022-01-28 17:37:32
92,East London,-33.0153,27.9116,72.54,73,0,13.8,ZA,2022-01-28 17:31:23
93,Hurghada,27.2574,33.8129,59.04,36,0,16.11,EG,2022-01-28 17:37:33
94,Broome,42.2506,-75.833,29.37,88,100,1.99,US,2022-01-28 17:37:33
95,Clyde River,70.4692,-68.5914,-12.77,77,100,26.46,CA,2022-01-28 17:37:34
96,Barabai,-2.5833,115.3833,73.33,96,100,1.43,ID,2022-01-28 17:37:34
97,New Norfolk,-42.7826,147.0587,62.65,70,97,1.54,AU,2022-01-28 17:32:32
